Club,home_PPS,away_PPS,home_adv
Manchester City,2.84,2.32,0.52
Liverpool,2.79,2.32,0.47
Chelsea,2.21,1.58,0.63
Tottenham,2,1.74,0.26
Arsenal,2.37,1.32,1.05
Manchester Utd,1.89,1.58,0.31
Wolverhampton,1.79,1.21,0.58
Everton,1.79,1.05,0.74
Leicester City,1.42,1.32,0.1
West Ham Utd,1.63,1.11,0.52
Watford,1.42,1.21,0.21
Crystal Palace,1.05,1.53,-0.48
Newcastle Utd,1.32,1.05,0.27
Bournemouth,1.53,0.84,0.69
Burnley,1.21,0.89,0.32
Southampton,1.21,0.84,0.37
Brighton,1.21,0.68,0.53
Cardiff City,1.05,0.74,0.31
Fulham,1.11,0.26,0.85
Huddersfield,0.47,0.37,0.1
