club,home_pps,away_pps,home_adv
Manchester City,2.16,2.37,-0.21
Manchester Utd,1.63,2.26,-0.63
Liverpool,1.74,1.89,-0.15
Chelsea,1.74,1.79,-0.05
Leicester City,1.47,2,-0.53
West Ham Utd,1.79,1.63,0.16
Tottenham,1.74,1.53,0.21
Arsenal,1.47,1.74,-0.27
Leeds Utd,1.53,1.58,-0.05
Everton,1.16,1.95,-0.79
Aston Villa,1.32,1.58,-0.26
Newcastle Utd,1.21,1.16,0.05
Wolverhampton,1.32,1.05,0.27
Crystal Palace,1.21,1.11,0.1
Southampton,1.42,0.84,0.58
Brighton,1.11,1.05,0.06
Burnley,0.95,1.11,-0.16
Fulham,0.53,0.95,-0.42
West Brom,0.79,0.58,0.21
Sheffield Utd,0.84,0.37,0.47
