club,home_PPS,away_PPS,home_adv
Bayern Munich,2.53,2.06,0.47
RB Leipzig,2.18,1.65,0.53
Dortmund,2.06,1.71,0.35
Wolfsburg,2,1.59,0.41
E. Frankfurt,2.18,1.35,0.83
Leverkusen,1.71,1.35,0.36
Union Berlin,1.88,1.06,0.82
Monchengladbach,1.65,1.24,0.41
Stuttgart,1.24,1.41,-0.17
Freiburg,1.59,1.06,0.53
Hoffenheim,1.59,0.94,0.65
FSV Mainz,0.94,1.35,-0.41
FC Augsburg,1.29,0.82,0.47
Hertha Berlin,1.18,0.88,0.3
Bielefeld,1.18,0.88,0.3
FC Koln,0.82,1.12,-0.3
Werder Bremen,0.82,1,-0.18
Schalke 04,0.71,0.24,0.47
