"V1","club_2020_name_England","data$Var.11"
"-0.27","Arsenal",16.5
"-0.26","AstonVilla",0
"0.06","Brighton&HoveAlbion",13
"-0.16","Burnley",15.9
"-0.05","Chelsea",11.3
"0.1","CrystalPalace",16.3
"-0.79","Everton",8.5
"-0.05","LeedsUnited",21.1
"-0.53","LeicesterCity",24.8
"-0.15","Liverpool",7.4
"-0.21","ManchesterCity",18.2
"-0.63","ManchesterUnited",13.4
"0.05","NewcastleUnited",19.1
"0.47","SheffieldUnited",15.6
"0.58","Southampton",6.2
"0.21","TottenhamHotspur",9.7
"0.21","WestBromwichAlbion",20
"0.16","WestHamUnited",10
"0.27","WolverhamptonWanderers",0
